"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbmocnut  ","P",03/29/2011 9:45,1,1,1         ,1         ,"",0.0049,<0>  ,0.023,<0>  ,0.008,<0>  ,1.292,<0>  ,1.3,<0>  ,16.6,<0>  ,
"cbmocnut  ","P",03/29/2011 9:46,1,1,1         ,2         ,"",0.0028,<0>  ,0.023,<0>  ,0.0079,<0>  ,1.262,<0>  ,1.27,<0>  ,15.5,<0>  ,
"cbmocnut  ","P",04/12/2011 9:30,1,1,1         ,1         ,"",0.003,<0>  ,0.032,<0>  ,0.0112,<0>  ,1.359,<0>  ,1.37,<0>  ,23.5,<0>  ,
"cbmocnut  ","P",04/26/2011 7:15,1,1,1         ,1         ,"",0.0071,<0>  ,0.02,<0>  ,0.0142,<0>  ,1.496,<0>  ,1.51,<0>  ,17.6,<0>  ,
"cbmocnut  ","P",04/26/2011 7:16,1,1,1         ,2         ,"",0.0078,<0>  ,0.026,<0>  ,0.0143,<0>  ,1.476,<0>  ,1.49,<0>  ,15.0,<0>  ,
"cbmocnut  ","P",05/10/2011 7:15,1,1,1         ,1         ,"",0.0039,<0>  ,0.013,<0>  ,0.0097,<0>  ,0.967,<0>  ,0.977,<0>  ,11.8,<0>  ,
"cbmocnut  ","P",05/24/2011 7:15,1,1,1         ,1         ,"",0.0063,<0>  ,0.094,<0>  ,0.0241,<0>  ,1.096,<0>  ,1.12,<0>  ,21.4,<0>  ,
"cbmocnut  ","P",05/24/2011 7:16,1,1,1         ,2         ,"",0.0085,<0>  ,0.084,<0>  ,0.0241,<0>  ,1.086,<0>  ,1.11,<0>  ,21.4,<0>  ,
"cbmocnut  ","P",06/08/2011 7:45,1,1,1         ,1         ,"",0.0036,<0>  ,0.04,<0>  ,0.0088,<0>  ,0.308,<0>  ,0.317,<0>  ,33.6,<0>  ,
"cbmocnut  ","P",06/23/2011 7:15,1,1,1         ,1         ,"",0.004,<0>  ,0.018,<0>  ,0.0084,<0>  ,0.271,<0>  ,0.279,<0>  ,40.9,<0>  ,
"cbmocnut  ","P",06/23/2011 7:16,1,1,1         ,2         ,"",0.0059,<0>  ,0.031,<0>  ,0.0088,<0>  ,0.272,<0>  ,0.281,<0>  ,40.9,<0>  ,
"cbmocnut  ","P",07/07/2011 7:15,1,1,1         ,1         ,"",0.0039,<0>  ,0.061,<0>  ,0.0077,<0>  ,0.021,<0>  ,0.029,<0>  ,23.8,<0>  ,
"cbmocnut  ","P",07/26/2011 10:15,1,1,1         ,1         ,"",0.0058,<0>  ,0.029,<0>  ,0.0027,<0>  ,0.008,<0>  ,0.011,<0>  ,27.8,<0>  ,
"cbmocnut  ","P",07/26/2011 10:16,1,1,1         ,2         ,"",0.0064,<0>  ,0.03,<0>  ,0.0028,<0>  ,0.006,<0>  ,0.009,<0>  ,20.6,<0>  ,
"cbmocnut  ","P",08/09/2011 7:45,1,1,1         ,1         ,"",0.0032,<0>  ,0.023,<0>  ,0.001,<0>  ,0.006,<0>  ,0.007,<0>  ,18.2,<0>  ,
"cbmocnut  ","P",08/23/2011 8:00,1,1,1         ,1         ,"",0.0049,<0>  ,0.043,<0>  ,0.0141,<0>  ,0.201,<0>  ,0.215,<0>  ,7.8,<0>  ,
"cbmocnut  ","P",08/23/2011 8:01,1,1,1         ,2         ,"",0.0059,<0>  ,0.055,<0>  ,0.0135,<0>  ,0.182,<0>  ,0.196,<0>  ,7.8,<0>  ,
"cbmocnut  ","P",09/06/2011 7:30,1,1,1         ,1         ,"",0.0041,<0>  ,0.064,<0>  ,0.0079,<0>  ,0.336,<0>  ,0.344,<0>  ,22.0,<0>  ,
"cbmocnut  ","P",09/20/2011 7:00,1,1,1         ,1         ,"",0.0036,<0>  ,0.038,<0>  ,0.0065,<0>  ,0.942,<0>  ,0.948,<0>  ,23.1,<0>  ,
"cbmocnut  ","P",09/20/2011 7:01,1,1,1         ,2         ,"",0.0043,<0>  ,0.036,<0>  ,0.0065,<0>  ,0.93,<0>  ,0.937,<0>  ,23.5,<0>  ,
"cbmocnut  ","P",10/06/2011 7:15,1,1,1         ,1         ,"",0.0036,<0>  ,0.037,<0>  ,0.0079,<0>  ,0.924,<0>  ,0.932,<0>  ,13.9,<0>  ,
"cbmocnut  ","P",10/20/2011 7:30,1,1,1         ,1         ,"",0.0046,<0>  ,0.043,<0>  ,0.0133,<0>  ,0.917,<0>  ,0.93,<0>  ,40.0,<0>  ,
"cbmocnut  ","P",10/20/2011 7:31,1,1,1         ,2         ,"",0.0036,<0>  ,0.041,<0>  ,0.0124,<0>  ,0.953,<0>  ,0.965,<0>  ,40.6,<0>  ,
"cbmocnut  ","P",11/03/2011 7:30,1,1,1         ,1         ,"",0.0031,<0>  ,0.046,<0>  ,0.0067,<0>  ,1.173,<0>  ,1.18,<0>  ,13.4,<0>  ,
