"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbmocnut  ","P",03/27/2019 10:00,1,1,1         ,1         ,"",0.0052,<0>  ,0.062,<0>  ,0.0065,<0>  ,2.304,<0>  ,2.31,<0>  ,2.85,<0>  ,
"cbmocnut  ","P",03/27/2019 10:01,1,1,1         ,2         ,"",0.005,<0>  ,0.058,<0>  ,0.0076,<0>  ,2.362,<0>  ,2.37,<0>  ,2.85,<0>  ,
"cbmocnut  ","P",04/10/2019 7:30,1,1,1         ,1         ,"",0.0028,<0>  ,0.019,<0>  ,0.0177,<0>  ,2.032,<0>  ,2.05,<0>  ,14.15,<0>  ,
"cbmocnut  ","P",04/24/2019 9:15,1,1,1         ,1         ,"",0.0037,<0>  ,0.08,<0>  ,0.0318,<0>  ,1.698,<0>  ,1.73,<0>  ,23.5,<0>  ,
"cbmocnut  ","P",04/24/2019 9:16,1,1,1         ,2         ,"",0.0027,<0>  ,0.084,<0>  ,0.0334,<0>  ,1.797,<0>  ,1.83,<0>  ,20.65,<0>  ,
"cbmocnut  ","P",05/08/2019 8:45,1,1,1         ,1         ,"",0.0045,<0>  ,0.203,<0>  ,0.024,<0>  ,1.516,<0>  ,1.54,<0>  ,19.22,<0>  ,
"cbmocnut  ","P",05/21/2019 9:00,1,1,1         ,1         ,"",0.0034,<-4> [SBL] ,0.02,<0>  ,0.0254,<0>  ,1.624,<0>  ,1.65,<0>  ,25.99,<0>  ,
"cbmocnut  ","P",05/21/2019 9:01,1,1,1         ,2         ,"",0.0034,<-4> [SBL] ,0.018,<0>  ,0.0248,<0>  ,1.565,<0>  ,1.59,<0>  ,27.06,<0>  ,
"cbmocnut  ","P",06/13/2019 9:00,1,1,1         ,1         ,"",0.004,<0>  ,0.022,<0>  ,0.0151,<0>  ,0.629,<0>  ,0.644,<0>  ,45.92,<0>  ,
"cbmocnut  ","P",06/26/2019 8:30,1,1,1         ,1         ,"",0.0034,<-4> [SBL] ,0.085,<0>  ,0.0149,<0>  ,0.308,<0>  ,0.323,<0>  ,15.31,<0>  ,
"cbmocnut  ","P",06/26/2019 8:31,1,1,1         ,2         ,"",0.0034,<-4> [SBL] ,0.067,<0>  ,0.0147,<0>  ,0.428,<0>  ,0.443,<0>  ,19.94,<0>  ,
"cbmocnut  ","P",07/11/2019 10:00,1,1,1         ,1         ,"",0.0034,<-4> [SBL] ,0.026,<0>  ,0.035,<0>  ,0.369,<0>  ,0.404,<0>  ,9.08,<0>  ,
"cbmocnut  ","P",07/25/2019 9:00,1,1,1         ,1         ,"",0.0034,<0>  ,0.03,<0>  ,0.0151,<0>  ,0.91,<0>  ,0.925,<0>  ,9.61,<1> (SRD) ,
"cbmocnut  ","P",07/25/2019 9:01,1,1,1         ,2         ,"",0.0034,<-4> [SBL] ,0.02,<0>  ,0.017,<0>  ,1.253,<0>  ,1.27,<0>  ,17.09,<1> (SRD) ,
"cbmocnut  ","P",08/08/2019 9:15,1,1,1         ,1         ,"",0.005,<0>  ,0.043,<0>  ,0.0051,<0>  ,0.122,<0>  ,0.127,<0>  ,3.42,<0>  ,
"cbmocnut  ","P",08/21/2019 9:15,1,1,1         ,1         ,"",0.0034,<-4> [SBL] ,0.013,<0>  ,0.0043,<0>  ,0.137,<0>  ,0.141,<0>  ,10.68,<0>  ,
