Submerged Aquatic Vegetation Monitoring Effort,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Follows DNR protocols using modified oyster tongs for SAV sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samplings are conducted three times during the year: June, August, and October",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: 2015 Biomass samples combined by species and weighed, replicates were not separated",,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for SAV Species:,,,,,,,,,TA = Trace Amount = 2ml,,,,,,,,,,,,,,,,,,
,HD: Hereranthera dubia,,,,,,,,,,,,,,,,,,,,,,,,,,
,HV: Hydrilla verticillata (Hydrilla),,,,,,,,NV= Not Visible,,,,,,,,,,,,,,,,,,
,MS: Myriophyllum spicatum (Eurasian watermilfoil),,,,,,,,,,,,,,,,,,,,,,,,,,
,VA: Vallisneria americana (Wild celery),,,,,,,,,,,,,,,,,,,,,,,,,,
,CD: Ceratophyllum demersum (Coontail),,,,,,,,,,,,,,,,,,,,,,,,,,
,EC: Elodea Canadensis (Common waterweed),,,,,,,,,,,,,,,,,,,,,,,,,,
,ZP: Zannichellia palustris (Horned pondweed),,,,,,,,,,,,,,,,,,,,,,,,,,
,PPC: Potamogeton pusillus (Slender pondweed),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Biomass - Dry weight (g),,,,,,,Biomass - Dry weight (g/m2),,,
,,,,,(m),,(m),(ppt),(µS),(µS),,°C,(mg/L),%,Cover (%),(m),,,,,,,,,,,
Component,Date,Year,Month,Transect,Distance,Sample,Secchi,Salinity,Conductivity,Conductance,pH,Temp,DO,DO%,Field,Depth,HV,MS,VA,CD,PPF,HD,ZP,HV-B,MS-B,VA-B,CD-B
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,10,1,0.45,0.2,,,,27.1,8.18,102.6,NV,1.06,1.8,0,0,0,0,,0,19.35483870967742,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,10,2,0.45,,,,,,,,,,0.08,0,0,0,0,,0,0.8602150537634409,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,10,3,0.45,,,,,,,,,,0.2,0,0,0,0,,0,2.1505376344086025,0,0,0
