StationCode,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,CollMethd,REP,F_Record,PO4F,F_PO4F,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,CHLA_N,F_CHLA_N,Unnamed: 20,Component,Year,Month ,Start,Tide,Transect,Distance (m),Sample,Secchi (m),HV,MS,VA,CD,HD,EC,ZP,PPC,PPF,NM
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,12:25:00,low 1.3,OPC1,10,1,0.63,5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,10,2,0.63,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,10,3,0.63,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,20,1,0.68,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,20,2,0.68,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,20,3,0.68,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,30,1,0.66,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,30,2,0.66,22,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,30,3,0.66,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,40,1,0.68,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,40,2,0.68,35,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,40,3,0.68,17,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,50,1,0.68,10,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,50,2,0.68,20,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,50,3,0.68,10,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,60,1,0.67,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,60,2,0.67,60,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC1,60,3,0.67,70,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,13:32:00,low 1.3,OPC2,10,1,0.65,60,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC2,10,2,0.65,70,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC2,10,3,0.65,80,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
cbmocnut  ,P,08/23/2007 8:45,1,1,1,1,,0.005,<0>  ,0.011,<0>  ,0.003,<0>  ,0.023,<0>  ,0.026,<0>  ,22.9,<0>  ,,OPC,2007,AUG,,,OPC2,20,1,0.55,220,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
