Component,Date,Year,Month ,Start Time,Tide,Transect,Distance,Unnamed: 8,Secchi,Salinity,Conductivity,Sp Conductance,pH,Temp,DO,Unnamed: 16,Unnamed: 17,Depth,Substrate,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,(m),,(m),(ppt),(µS),(µS),,°C,(mg/L),%,,(m),,,Species 1,% Cover,Stem Ht (m),Species 2,% Cover,Stem Ht (cm),Species 3,% Cover,Stem Ht (cm),Comments
OPC,2018-08-23,2018.0,August,10:41:00,High,OPCC1,10,,0.365,0.09,196.8,194.3,7.18,22.9,5.79,67.3,,0.365,Sandy Mud,,,,,,,,,,,HV observed outside of plot
,,,,,,OPCC1,20,,0.42,,,,,,,,,0.42,Sandy Mud,,HV,65,,,,,,,,NM and CD observed in plot
,,,,,,OPCC1,30,,0.45,,,,,,,,,0.45,Silty Mud,,HV,50,0.25,,,,,,,NM and CD observed outside of plot
,,,,,,OPCC1,40,,0.4,,,,,,,,,0.4,Silty Mud,,HV,70,0.27,CD,10,0.67,,,,MS observed outside of plot
,,,,,,OPCC1,50,,0.34,,,,,,,,,0.34,Silty Mud,,HV,89,0.25,CD,5,0.66,PPS,1,0.38,
,,,,,,OPCC1,60,,0.27,,,,,,,,,0.27,Sandy Mud,,HV,90,0.27,,,,,,,CD Observed outside of plot
OPC,2018-08-22,2018.0,August,12:05:00,,OPC1,10,,0.235,0.05,112.1,116.3,6.23,23.4,5.01,59.3,,0.815,Sandy Gravel,,,,,,,,,,,
,,,,,,OPC1,20,,0.28,,,,,,,,,1.1,Silt Over Gravel,,,,,,,,,,,
,,,,,,OPC1,30,,0.4,,,,,,,,,1.14,Silt Over Gravel,,HV,5,0.18,,,,,,,
,,,,,,OPC1,40,,0.28,,,,,,,,,1.08,Silty Mud,,,,,,,,,,,
,,,,,,OPC1,50,,0.29,,,,,,,,,1.04,Silty Mud,,HV,3,0.09,,,,,,,
,,,,,,OPC1,60,,0.27,,,,,,,,,1.06,Silty Mud,,,,,,,,,,,
OPC,2018-08-22,2018.0,August,09:10:00,High,OPC3,10,,0.085,0.05,97.7,103.5,6.74,22.1,5.86,67.5,,0.83,Silty Mud,,HV,95,0.39,,,,,,,
,,,,,,OPC3,20,,0.075,,,,,,,,,0.85,Silty Mud,,HV,95,0.4,,,,,,,
,,,,,,OPC3,30,,0.085,,,,,,,,,0.82,Silty Mud,,HV,90,0.37,,,,,,,
,,,,,,OPC3,40,,0.09,,,,,,,,,0.84,Silty Mud,,HV,98,0.35,,,,,,,
,,,,,,OPC3,50,,0.08,,,,,,,,,0.86,Silty Mud,,HV,80,0.51,,,,,,,
,,,,,,OPC3,60,,0.085,,,,,,,,,0.85,Silty Mud,,HV,100,0.51,,,,,,,
OPC,2018-08-22,2018.0,August,10:30:00,Outgoing,OPC2,10,,0.76,0.11,236.2,238.2,6.65,24.5,4.12,51.8,,0.76,Sandy Mud,,HV,85,0.38,,,,,,,Super clear water!
,,,,,,OPC2,20,,0.65,,,,,,,,,0.9,Silty Mud,,HV,100,0.72,,,,,,,
,,,,,,OPC2,30,,,,,,,,,,,0.91,Silty Mud,,HV,100,0.68,,,,,,,
,,,,,,OPC2,40,,,,,,,,,,,0.94,Silty Mud,,HV,100,0.74,,,,,,,
,,,,,,OPC2,50,,0.85,,,,,,,,,0.85,Silty Mud,,HV,100,0.62,,,,,,,CD Observed outside of plot
,,,,,,OPC2,60,,,,,,,,,,,0.89,Silty Mud,,HV,75,0.55,CD,25,0.72,,,,
