"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbmocnut  ","P",01/07/2016 8:45,1,1,1         ,1         ,"",0.0044,<0>  ,0.1,<0>  ,0.0062,<0>  ,1.074,<1> [SRD] ,1.08,<1> [SRD] ,13.17,<1> [SRD] ,
"cbmocnut  ","P",01/07/2016 8:46,1,1,1         ,2         ,"",0.0038,<0>  ,0.126,<0>  ,0.0069,<0>  ,1.673,<1> [SRD] ,1.68,<1> [SRD] ,4.63,<1> [SRD] ,
"cbmocnut  ","P",03/29/2016 11:30,1,1,1         ,1         ,"{WS3} {CSM}",0.0053,<0>  ,0.029,<0>  ,0.0085,<0>  ,1.222,<0>  ,1.23,<0>  ,32.04,<0>  ,
"cbmocnut  ","P",03/29/2016 11:31,1,1,1         ,2         ,"",0.0037,<0>  ,0.026,<0>  ,0.0085,<0>  ,1.212,<0>  ,1.22,<0>  ,26.7,<0>  ,
"cbmocnut  ","P",04/13/2016 12:00,1,1,1         ,1         ,"",0.0032,<0>  ,0.01,<0>  ,0.009,<0>  ,1.231,<0>  ,1.24,<0>  ,20.29,<0>  ,
"cbmocnut  ","P",04/26/2016 7:30,1,1,1         ,1         ,"",0.0036,<0>  ,0.056,<1> [SRD] ,0.0238,<0>  ,0.887,<0>  ,0.911,<0>  ,30.97,<0>  ,
"cbmocnut  ","P",04/26/2016 7:31,1,1,1         ,2         ,"",0.0036,<0>  ,0.026,<1> [SRD] ,0.0234,<0>  ,0.892,<0>  ,0.915,<0>  ,30.97,<0>  ,
"cbmocnut  ","P",05/11/2016 7:30,1,1,1         ,1         ,"",0.0031,<0>  ,0.084,<0>  ,0.0196,<0>  ,0.807,<0>  ,0.827,<0>  ,29.9,<0>  ,
"cbmocnut  ","P",05/24/2016 12:00,1,1,1         ,1         ,"",0.0042,<0>  ,0.063,<0>  ,0.0239,<0>  ,1.056,<0>  ,1.08,<0>  ,41.65,<1> [SRD] ,
"cbmocnut  ","P",05/24/2016 12:01,1,1,1         ,2         ,"",0.004,<0>  ,0.065,<0>  ,0.0223,<0>  ,1.078,<0>  ,1.1,<0>  ,31.51,<1> [SRD] ,
