Component,Date,Year,Month ,Start,Tide,Transect,Distance (m),Sample,Secchi (m),HV,MS,VA,CD,HD,EC,ZP,PPC,PPF,NM
OPC,2007-06-19,2007,JUN,10:50:00,Coming up/high,OPC1,10,1,0.45,45,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,10,2,0.45,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,10,3,0.45,5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,20,1,0.45,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,20,2,0.45,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,20,3,0.45,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,30,1,0.45,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,30,2,0.45,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,30,3,0.45,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,40,1,0.45,15,0.0,0.0,0.0,,0.0,2.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,40,2,0.45,4,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,40,3,0.45,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,50,1,0.45,21,0.0,0.0,11.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,50,2,0.45,2,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,50,3,0.45,7,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,60,1,0.45,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,60,2,0.45,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC1,60,3,0.45,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,12:42:00,High,OPC2,10,1,0.64,5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,10,2,0.64,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,10,3,0.64,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,20,1,0.64,30,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,20,2,0.64,150,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,20,3,0.64,140,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,30,1,0.64,140,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,30,2,0.64,220,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,30,3,0.64,180,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,40,1,0.64,240,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,40,2,0.64,260,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,40,3,0.64,140,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,50,1,0.64,35,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,50,2,0.64,230,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,50,3,0.64,220,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,60,1,0.64,150,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,60,2,0.64,200,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC2,60,3,0.64,160,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-19,2007,JUN,,,OPC3,10,1,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,10,2,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,10,3,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,20,1,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,20,2,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,20,3,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,30,1,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,30,2,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,30,3,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,40,1,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,40,2,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,40,3,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,50,1,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,50,2,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,50,3,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,60,1,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,60,2,,,,,,,,,,,
OPC,2007-06-19,2007,JUN,,,OPC3,60,3,,,,,,,,,,,
OPC,2007-06-22,2007,JUN,12:10:00,Coming up,OPCC1,10,1,0.35,30,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,10,2,0.35,160,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,10,3,0.35,110,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,20,1,0.35,60,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,20,2,0.35,90,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,20,3,0.35,10,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,30,1,0.35,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,30,2,0.35,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,30,3,0.35,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,40,1,0.35,15,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,40,2,0.35,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,40,3,0.35,6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,50,1,0.35,90,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,50,2,0.35,11,0.0,0.0,9.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,50,3,0.35,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,60,1,0.35,60,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,60,2,0.35,60,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC1,60,3,0.35,6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,09:06:00,Low,OPCC2,10,1,,,,,,,,,,,
OPC,2007-06-22,2007,JUN,,,OPCC2,10,2,,,,,,,,,,,
OPC,2007-06-22,2007,JUN,,,OPCC2,10,3,,,,,,,,,,,
OPC,2007-06-22,2007,JUN,,,OPCC2,20,1,0.41,140,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,20,2,0.41,90,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,20,3,0.41,120,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,30,1,0.41,80,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,30,2,0.41,43,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,30,3,0.41,70,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,40,1,0.41,110,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,40,2,0.41,110,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,40,3,0.41,80,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,50,1,0.41,110,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,50,2,0.41,100,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,50,3,0.41,80,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,60,1,0.41,105,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,60,2,0.41,130,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,60,3,0.41,130,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,70,1,0.41,155,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,70,2,0.41,110,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-06-22,2007,JUN,,,OPCC2,70,3,0.41,52,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,12:25:00,low 1.3,OPC1,10,1,0.63,5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,10,2,0.63,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,10,3,0.63,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,20,1,0.68,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,20,2,0.68,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,20,3,0.68,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,30,1,0.66,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,30,2,0.66,22,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,30,3,0.66,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,40,1,0.68,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,40,2,0.68,35,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,40,3,0.68,17,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,50,1,0.68,10,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,50,2,0.68,20,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,50,3,0.68,10,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,60,1,0.67,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,60,2,0.67,60,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC1,60,3,0.67,70,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,13:32:00,low 1.3,OPC2,10,1,0.65,60,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,10,2,0.65,70,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,10,3,0.65,80,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,20,1,0.55,220,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,20,2,0.55,200,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,20,3,0.55,200,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,30,1,0.58,180,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,30,2,0.58,120,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,30,3,0.58,240,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,40,1,0.55,120,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,40,2,0.55,140,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,40,3,0.55,100,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,50,1,0.63,200,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,50,2,0.63,200,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,50,3,0.63,120,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,60,1,0.65,140,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,60,2,0.65,340,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC2,60,3,0.65,210,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,09:00:00,1.7,OPC3,10,1,0.45,800,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,10,2,0.45,480,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,10,3,0.45,740,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,20,1,0.46,500,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,20,2,0.46,600,0.0,0.0,0.0,,8.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,20,3,0.46,620,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,30,1,0.48,740,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,30,2,0.48,540,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,30,3,0.48,1000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,40,1,0.54,620,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,40,2,0.54,520,0.0,0.0,0.0,,13.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,40,3,0.54,620,0.0,0.0,0.0,,7.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,50,1,0.64,500,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,50,2,0.64,330,0.0,9.0,0.0,,2.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,50,3,0.64,400,0.0,0.0,0.0,,10.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,60,1,0.65,580,0.0,60.0,0.0,,6.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,60,2,0.65,300,0.0,120.0,0.0,,3.0,0.0,0.0,,0.0
OPC,2007-08-23,2007,AUG,,,OPC3,60,3,0.65,320,0.0,0.0,0.0,,50.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,12:00:00,Ebb,OPCC1,10,1,0.39,120,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,10,2,0.39,600,0.0,0.0,10.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,10,3,0.39,140,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,20,1,0.67,460,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,20,2,0.67,210,0.0,0.0,175.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,20,3,0.67,740,0.0,0.0,15.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,30,1,0.67,25,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,30,2,0.67,90,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,30,3,0.67,90,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,40,1,0.8,260,7.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,40,2,0.8,240,5.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,40,3,0.8,120,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,50,1,0.7,560,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,50,2,0.7,620,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,50,3,0.7,260,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,60,1,0.63,700,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,60,2,0.63,840,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC1,60,3,0.63,400,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,08:57:00,high,OPCC2,10,1,0.63,490,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,10,2,0.63,620,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,10,3,0.63,660,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,20,1,0.65,610,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,20,2,0.65,610,0.0,0.0,16.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,20,3,0.65,500,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,30,1,0.65,640,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,30,2,0.65,560,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,30,3,0.65,580,0.0,0.0,10.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,40,1,0.63,520,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,40,2,0.63,580,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,40,3,0.63,480,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,50,1,0.65,600,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,50,2,0.65,500,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,50,3,0.65,650,0.0,0.0,16.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,60,1,0.62,680,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,60,2,0.62,560,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-08-24,2007,AUG,,,OPCC2,60,3,0.62,800,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,15:25:00,low,OPC1,10,1,0.35,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,10,2,0.35,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,10,3,0.35,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,20,1,0.3,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,20,2,0.3,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,20,3,0.3,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,30,1,0.35,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,30,2,0.35,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,30,3,0.35,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,40,1,0.32,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,40,2,0.32,14,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,40,3,0.32,7,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,50,1,0.28,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,50,2,0.28,3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,50,3,0.28,4,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,60,1,0.35,3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,60,2,0.35,7,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC1,10,3,0.35,7,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
