Component,Date,Year,Month ,Start,Tide,Transect,Distance (m),Sample,Secchi (m),Salinity (ppt),Conductivity (µS),Conductance (µS),pH,Temp (°C),DO (mg/L),DO (%),Field Cover (%),Depth (m),Substrate,HV,MS,VA,CD,HD,EC,ZP,PPC,PPF,NM,Comments
OPC,2007-06-19,2007,JUN,10:50:00,Coming up/high,OPC1,10,1,0.45,0.2,,,,27.1,8.18,102.6,NV,1.06,Sandy/pebbles,45,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,Benchmark: Marker #15 of canoe trail
OPC,2007-06-19,2007,JUN,,,OPC1,10,2,0.45,0.2,,,,27.1,8.18,102.6,NV,,Sandy,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,"Survey Team: Candace Morrell, Kriste, Patricia Delgado"
OPC,2007-06-19,2007,JUN,,,OPC1,10,3,0.45,0.2,,,,27.1,8.18,102.6,NV,,Gravel,5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,"Weather: Hot, hazy, humid"
OPC,2007-06-19,2007,JUN,,,OPC1,20,1,0.45,0.2,,,,27.1,8.18,102.6,NV,1.17,Sandy,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC1,20,2,0.45,0.2,,,,27.1,8.18,102.6,NV,,Sandy,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,Clams found
OPC,2007-06-19,2007,JUN,,,OPC1,20,3,0.45,0.2,,,,27.1,8.18,102.6,NV,,Sandy,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC1,30,1,0.45,0.2,,,,27.1,8.18,102.6,NV,1.2,Silty,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,Clams found
OPC,2007-06-19,2007,JUN,,,OPC1,30,2,0.45,0.2,,,,27.1,8.18,102.6,NV,,Silty,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC1,30,3,0.45,0.2,,,,27.1,8.18,102.6,NV,,Silty,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC1,40,1,0.45,0.2,,,,27.1,8.18,102.6,NV,1.15,Silty,15,0.0,0.0,0.0,,0.0,2.0,0.0,,0.0,Live clams
OPC,2007-06-19,2007,JUN,,,OPC1,40,2,0.45,0.2,,,,27.1,8.18,102.6,NV,,Silty,4,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC1,40,3,0.45,0.2,,,,27.1,8.18,102.6,NV,,Silty,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC1,50,1,0.45,0.2,,,,27.1,8.18,102.6,NV,1.12,Silty,21,0.0,0.0,11.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC1,50,2,0.45,0.2,,,,27.1,8.18,102.6,NV,,Silty,2,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC1,50,3,0.45,0.2,,,,27.1,8.18,102.6,NV,,Silty,7,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC1,60,1,0.45,0.2,,,,27.1,8.18,102.6,NV,1.17,Silty,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC1,60,2,0.45,0.2,,,,27.1,8.18,102.6,NV,,Silty,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC1,60,3,0.45,0.2,,,,27.1,8.18,102.6,NV,,Silty,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,12:42:00,High,OPC2,10,1,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,0.73,Sandy/pebbles,5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,Benchmark: Look for tree trunk vine+tree with compound leaves
OPC,2007-06-19,2007,JUN,,,OPC2,10,2,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,,Sandy,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,"Survey Team: Candace Morrell, Kriste, Patricia Delgado"
OPC,2007-06-19,2007,JUN,,,OPC2,10,3,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,,Pebbles,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,"Weather: Sunny, humid"
OPC,2007-06-19,2007,JUN,,,OPC2,20,1,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,0.91,Silty,30,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,Lots of SAV floating
OPC,2007-06-19,2007,JUN,,,OPC2,20,2,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,,Silty,150,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC2,20,3,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,,Silty,140,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC2,30,1,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,0.86,Silty,140,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,Clam shells found
OPC,2007-06-19,2007,JUN,,,OPC2,30,2,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,,Silty,220,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC2,30,3,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,,Silty,180,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC2,40,1,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,0.87,Silty,240,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC2,40,2,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,,Silty,260,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC2,40,3,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,,Silty,140,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC2,50,1,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,0.99,Silty,35,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC2,50,2,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,,Silty,230,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC2,50,3,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,,Silty,220,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC2,60,1,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,0.88,Silty,150,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC2,60,2,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,,Silty,200,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC2,60,3,0.64,0.2,456.5,430.4,,27.3,9.32,116.0,NV,,Silty,160,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-19,2007,JUN,,,OPC3,10,1,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,10,2,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,10,3,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,20,1,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,20,2,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,20,3,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,30,1,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,30,2,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,30,3,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,40,1,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,40,2,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,40,3,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,50,1,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,50,2,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,50,3,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,60,1,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,60,2,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-19,2007,JUN,,,OPC3,60,3,,,,,,,,,,,,,,,,,,,,,,Transect OPC3 not sampled
OPC,2007-06-22,2007,JUN,12:10:00,Coming up,OPCC1,10,1,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,80,0.47,Silty,30,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,Benchmark: Entrance of Bush creek-Phragmites stand
OPC,2007-06-22,2007,JUN,,,OPCC1,10,2,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,80,0.53,Silty,160,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,"Survey Team: Bart Merrick, Shanna Schoen, Patricia Delgado"
